Store Name,Longitude,Latitude
"Meritxell, 96",1.53,42.51
Ajman Drive Thru,55.47,25.42
Dana Mall,55.47,25.39
Twofour 54,54.38,24.48
Al Ain Tower,54.54,24.51
"Dalma Mall, Ground Floor",54.49,24.4
"Dalma Mall, Level 1",54.49,24.4
Debenhams Yas Mall,54.61,24.46
Khalidiya Street,55.69,24.19
Eastern Mangroves,54.38,24.48
Nation Towers,54.34,24.47
HCT Abu Dhabi Women's College Block,54.37,24.49
Standard Chartered Building,55.69,24.19
International Tower,54.7,24.3
Yas Mall 3,54.6,24.48
Blue Tower A,55.74,24.21
Corniche Park DT,54.34,24.47
Khalidiya Mall,54.35,24.47
Al Wahda Mall,54.37,24.47
Al Seef Village,54.38,24.48
Shangri-La Souq,54.51,24.42
"Abu Dhabi University, Men's",54.35,24.46
MUshrif Mall 1,54.66,24.41
Boutik Mall Sun & Sky,54.41,24.5
Marina Mall,54.32,24.47
"Abu Dhabi University, Women's",54.57,24.35
Hamdan Street,55.62,24.21
Saadiyat Island,54.44,24.54
Camellia Flowers,54.34,24.47
Deerfields,54.94,24.9
Abu Dhabi Mall,54.37,24.5
Zayed University,54.6,24.4
Bawabat Al Sharq,55.77,24.48
Guardian Tower,54.44,24.43
Ferrari World Welcome Pavilion,54.61,24.46
Al Mamoura,54.39,24.46
Ministry of Interior,54.39,24.43
ADNOC Mushrif,54.66,24.41
Twin Towers 13th Street,55.53,23.85
Al Falah Community,54.37,24.47
Abu Dhabi Police HQ,54.37,24.52
Western Region,54.37,24.48
Raha Garden,54.37,24.47
Al Ain Ladies Club,55.4,24.12
Jahli Park,55.29,25.24
Tawam Hospital,55.65,24.19
Jimmy Mall,55.73,24.24
Al Ain Mall,55.39,25.1
Bawadi Mall,55.81,24.16
Wahat Hili Mall,55.69,24.21
Oasis Hospital,55.8,24.13
YAS Mall,54.47,24.41
Al Ruwais Mall,54.63,24.29
Shamkha Mall,54.69,24.39
Al Barsha Commercial,55.23,25.05
Umm Sequeim,55.23,25.17
Reel Cinema,55.6,24.78
Dubai Airport Concourse 3,55.35,25.25
City Walk - Dubai,55.31,25.27
DIFC 2,55.16,25.1
The Residence Tower 1,55.27,25.19
Emirates Tower,55.28,25.21
Dubai Marina,55.15,25.08
Dubai Airport - Concourse D West,55.35,25.25
Mall of the Emirates - Ski #2,55.2,25.12
Bin Sougat,55.4,25.23
Old Town Amenity Building,55.28,25.19
Atlantis,55.12,25.13
Jumeirah Beach Road,55.14,25.08
Oasis Centre,55.24,25.17
Jumeirah Beach Residence 3 P24a,55.13,25.07
Dubai Airport T1 Landside Departure,55.31,25.27
Old Town Commercial Island,55.28,25.19
Al Gurrair Mall,55.32,25.27
Jumeirah Beach Residence 6 GM10,55.13,25.07
Atlantis The Avenues,55.12,25.13
Jumeirah Villa,55.23,25.19
Mercato Town Centre,55.25,25.22
Emaar Business Park,55.17,25.1
DBX - Term 2 Landside,55.31,25.27
DED,55.33,25.26
Burj Dubai Business Park,55.27,25.2
Motor City,55.24,25.05
ENOC 1001,55.35,25.27
Riverland,55.19,25.11
Me'Aissem City Center,55.19,25.03
Etihad Mall,55.42,25.23
Park Place Showmax,55.24,25.2
Arabian Centre,55.46,25.26
Dubai Airport - Concourse D East,55.35,25.25
Gardens 3,55.12,25.04
Dubai Mall LG 118,55.28,25.2
Deira City Center 4,55.33,25.25
Sahara Tower,55,24.92
Shindagha Centre,55.28,25.24
Dubai Academic City,55.42,25.13
Madina Jumeirah,55.19,25.13
21st Century Tower,55.28,25.21
Gardens 2,55.12,25.05
Mirdif City Center - Central Atrium,55.41,25.22
Health Care City Dubai,55.33,25.23
Dubai Mall G 223,55.28,25.2
Wafi Mall,55.28,25.25
Dubai Mall 4,55.44,25.04
Uptown Mirdif,55.43,25.23
Deira City Center Mall,55.33,25.25
Palm Strip,55.26,25.23
